Before Mean,Before Median,Before Mode,Before Std Dev,Before Skewness,Before Kurtosis,Before Variance,Before Max,Before Min,Before Z-Score,Before Mean MER,Before Max MER,After Mean,After Median,After Mode,After Std Dev,After Skewness,After Kurtosis,After Variance,After Max,After Min,After Z-Score,After Mean MER,After Max MER,earthquake
-8.55e-05,5.08e-05,0.000223607,0.001271066,-0.245758799,0.266510784,1.62e-06,0.003486311,-0.004267224,1.42e-17,7.35e-05,9.88e-05,-0.000259597,-0.00019836,-0.004766205,0.002925627,-0.089834851,0.865628209,8.56e-06,0.009934412,-0.009908873,-3.55e-18,0.281400003,0.845922993,1
0.00013773,9.71e-05,-5.64e-05,0.001240338,-0.033707996,0.445576296,1.54e-06,0.004165639,-0.003280424,-3.55e-18,7.47e-05,0.000110304,-0.00013633,-7.54e-05,-0.001092404,0.00193687,-0.081587547,-0.107346583,3.75e-06,0.005393766,-0.005545166,1.42e-17,0.320691333,0.903123801,1
-2.67e-05,-3.66e-05,0.000500464,0.001325277,-0.161855257,0.098320266,1.76e-06,0.003110744,-0.004527415,0.0,7.47e-05,0.000110304,-1.84e-05,-7.52e-05,-0.006561408,0.003687748,0.177794107,0.02813076,1.36e-05,0.011516117,-0.00924841,-1.78e-18,0.320691333,0.903123801,1
5.18e-05,-6.79e-06,-0.000371654,0.001181377,0.19843708,0.131730914,1.4e-06,0.003658849,-0.003365541,-2.13e-17,7.47e-05,0.000110304,2.8e-05,-0.000140904,-0.001484405,0.003526072,0.041602236,0.744015329,1.24e-05,0.009722758,-0.010695644,1.42e-17,0.320691333,0.903123801,1
-4.67e-06,-1.66e-05,-0.000362091,0.001197626,-0.144424681,0.084803324,1.43e-06,0.003208084,-0.003777652,-2.84e-17,7.51e-05,0.000110304,0.000118299,2.77e-06,-0.000591669,0.001849623,0.003249348,-0.456428922,3.42e-06,0.005740472,-0.004583518,0.0,0.32339263,0.903123801,1
8.01e-05,0.000104696,0.000104696,0.00124937,-0.065624157,-0.074417946,1.56e-06,0.00378966,-0.003349518,0.0,7.45e-05,0.000110304,-9.14e-05,2.86e-05,-0.00131494,0.002120331,-0.222625082,-0.182578513,4.5e-06,0.004941065,-0.006343405,0.0,0.318252955,0.903123801,1
-1.93e-05,-0.000104974,-0.000815378,0.001305865,-0.007119533,0.220078599,1.71e-06,0.003444703,-0.004001361,1.78e-18,7.58e-05,0.000109151,-2.91e-05,-2.83e-05,-0.001007474,0.004319379,-0.029779884,0.954231128,1.87e-05,0.013769864,-0.012713619,1.2e-17,0.253614535,0.691208103,1
-0.00015983,-0.000106549,-0.001104511,0.001392796,0.127565661,0.070947211,1.94e-06,0.005151494,-0.003523281,-2.13e-17,7.58e-05,0.000109151,-0.000121148,-0.000222509,-0.000222509,0.002395093,-0.166087378,1.177057507,5.74e-06,0.0076464,-0.009012074,1.42e-17,0.253614535,0.691208103,1
-0.000129172,-0.000159612,-0.000926825,0.001225149,0.043170435,0.004174762,1.5e-06,0.002987718,-0.004035501,1.42e-17,7.58e-05,0.000109151,8.04e-05,0.000129118,-0.000466497,0.001845651,-0.257936236,0.752823725,3.41e-06,0.005367834,-0.006607713,-1.78e-17,0.253614535,0.691208103,1
-0.000122866,-0.000223245,-0.001336582,0.001246295,-0.063003461,-0.322907788,1.55e-06,0.003038873,-0.003485949,0.0,7.55e-05,0.000101973,-6.5e-05,-0.000146817,-0.001528678,0.004037862,0.114989927,0.688623252,1.63e-05,0.013440756,-0.0104711,0.0,0.256625804,0.717652519,1
6.38e-05,6.78e-05,-0.000757431,0.001302068,0.076156199,-0.264603506,1.7e-06,0.003579956,-0.003136962,-1.78e-18,7.58e-05,0.000109151,8.33e-05,0.000298218,-0.000527268,0.002024746,-0.479060944,1.341295237,4.1e-06,0.005959487,-0.007819889,-2.84e-17,0.253614535,0.691208103,1
-9e-05,-9.46e-05,0.001018143,0.001194897,0.011129773,-0.215597057,1.43e-06,0.003320952,-0.003088496,0.0,0.000230709,0.006206833,-9.63e-05,-5.6e-05,-0.000900475,0.002577842,-0.050524668,0.605488482,6.65e-06,0.007965225,-0.006696153,7.11e-18,0.245578529,0.500191349,1
-0.000259976,-0.000220983,-0.001506503,0.001285027,0.211525438,0.418345549,1.65e-06,0.003674819,-0.004193505,-1.95e-17,7.36e-05,0.000110304,-2.03e-06,-0.000259343,-0.002888658,0.010187346,0.122533007,0.506513423,0.000103782,0.03050384,-0.027260841,3.02e-17,0.307824939,0.903123801,1
-9.45e-05,-2.97e-05,-2.97e-05,0.001352405,-0.091084302,-0.496593802,1.83e-06,0.003539337,-0.003638495,-7.11e-18,7.41e-05,0.000110304,-9.3e-05,0.000200497,-0.003023554,0.005434271,-0.066238484,1.360131663,2.95e-05,0.017280059,-0.017608796,7.11e-18,0.314590887,0.903123801,1
-4.2e-05,-7.99e-05,-0.00090508,0.001225598,0.20958687,0.451711002,1.5e-06,0.004506991,-0.003476707,-4.44e-17,7.58e-05,0.000118538,-0.000287691,-9.89e-05,-0.001173898,0.004231798,-0.376701625,1.416865455,1.79e-05,0.011914401,-0.016526353,-1.78e-18,0.325604544,0.903123801,1
-7.2e-05,-9.57e-05,-0.000575938,0.001063826,-0.141236037,-0.439064754,1.13e-06,0.002188371,-0.003185632,-3.2e-17,7.43e-05,0.000110304,-0.000183912,-0.000153092,-0.003492517,0.004398121,-0.100716139,0.724249296,1.93e-05,0.012896553,-0.015045219,-3.55e-18,0.315834281,0.903123801,1
-0.000133195,-0.000128585,-9.11e-05,0.00116738,-0.123469001,-0.341886547,1.36e-06,0.003056227,-0.003314568,1.42e-17,7.41e-05,0.000110304,-0.000190309,-0.000685546,-0.004082952,0.010133834,-0.314237938,2.251004022,0.000102695,0.030576325,-0.038855847,3.55e-18,0.314590887,0.903123801,1
7.97e-05,0.000164946,5.02e-05,0.001237501,-0.142412313,-0.102667818,1.53e-06,0.003350929,-0.003711529,-2.31e-17,0.023690577,0.29443911,2.58e-05,8.82e-05,-0.000141939,0.002038561,-0.085641859,-0.337982965,4.16e-06,0.005538364,-0.005093097,-2.84e-17,0.251581537,0.500191349,1
2.85e-05,7.84e-06,-0.000203286,0.001179629,0.053807807,0.597368121,1.39e-06,0.004172169,-0.003427337,-1.78e-18,7.82e-05,0.000118538,-2.52e-06,-1.15e-05,0.001409032,0.003820252,-0.17551824,1.797395783,1.46e-05,0.014036418,-0.013483095,-1.78e-17,0.335981508,0.903123801,1
-0.000109887,-7.88e-05,-0.000174853,0.001104289,-0.035839189,-0.253723896,1.22e-06,0.003087851,-0.003168154,1.42e-17,7.93e-05,0.000118538,-8.1e-06,-4.04e-05,0.000247407,0.002012395,-0.020685644,0.88009978,4.05e-06,0.006964326,-0.005931877,3.91e-17,0.336599631,0.903123801,1
0.000205754,0.000168379,0.001089035,0.001319275,0.022243545,-0.393969062,1.74e-06,0.004005615,-0.0032097,2.84e-17,7.93e-05,0.000118538,0.00013896,0.000205861,0.000820803,0.001886624,-0.177644665,1.616221993,3.56e-06,0.007268904,-0.007354991,-3.73e-17,0.336599631,0.903123801,1
-3.94e-05,-7.85e-05,-0.000922979,0.001201729,-0.032213877,-0.24170556,1.44e-06,0.003645158,-0.003187135,-3.91e-17,8.21e-05,0.00096458,-1.46e-05,7.5e-05,0.000305733,0.001588222,0.034521377,-0.438382298,2.52e-06,0.004451025,-0.003647463,1.95e-17,0.248256257,0.500191349,1
-0.000282736,-0.000249006,2.04e-05,0.001179847,-0.109622588,-0.033138142,1.39e-06,0.003704189,-0.003588432,7.11e-18,7.64e-05,0.000128061,-0.000170954,-3.76e-05,-0.001975528,0.002267319,-0.161093018,-0.503051997,5.14e-06,0.004587362,-0.00612082,-2.31e-17,0.251190536,0.682786265,1
-1.64e-06,2.85e-05,6.72e-05,0.001182188,-0.112558432,-0.241285779,1.4e-06,0.003022415,-0.003502407,1.07e-17,7.64e-05,0.000128061,0.000126094,0.000182557,0.001141865,0.001567713,-0.226646137,0.24320481,2.46e-06,0.004289195,-0.004461716,1.42e-17,0.251190536,0.682786265,1
